,Company,Market Cap,Industry,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board
441,Simon Property Group ,63422,Financials,10,67,0.7,12.5,196214,0.1
442,Equity Residential,28155,Financials,12,64,0.75,9,195484,0.17
443,Macerich ,13416,Financials,10,61,0.7,4,195000,0.2
444,DENTSPLY International,8507,Health Care,10,68,0.8,12.5,193500,0.1
445,Boston Properties,19327,Financials,11,68,0.73,5,192096,0.09
446,WEC Energy Group ,16276,Utilities,12,66.5,0.92,11,191959,0.25
447,Microsoft ,420483,Information Technology,10,59.5,0.8,2,190758,0.2
448,AGL Resources,7517,Utilities,15,66,0.93,11,190028,0.2
449,AvalonBay Communities ,23931,Financials,10,62.5,0.9,7.5,187759,0.1
450,Cincinnati Financial ,9868,Financials,15,60,0.67,11,186585,0.13
451,Airgas,7178,Materials,11,66,0.82,9,186247,0.18
452,SCANA ,8463,Utilities,10,59.5,0.9,12,185500,0.1
453,Ralph Lauren,9487,Consumer Discretionary,11,68,0.73,8,185478,0.27
454,Cablevision Systems ,9019,Consumer Discretionary,18,65.5,0.39,10,185307,0.17
455,AMETEK,13275,Industrials,9,67,0.89,9,184936,0.33
456,Mohawk Industries,14449,Consumer Discretionary,9,63,0.67,10,184685,0.11
457,J B Hunt Transport Services ,8752,Industrials,11,61,0.55,11,182500,0.18
458,Cintas ,10049,Industrials,9,63,0.67,7,181565,0.11
459,Frontier Communications,6004,Telecommunications Services,12,61.5,0.83,6.5,180000,0.42
460,CME Group ,31908,Financials,24,61.5,0.75,11,178519,0.13
461,Loews ,13237,Financials,14,64,0.71,11.5,176679,0.07
462,Welltower ,22826,Financials,9,66,0.89,9,176501,0.22
463,O'Reilly Automotive ,27270,Consumer Discretionary,9,68,0.56,18,176268,0.11
464,General Growth Properties ,25639,Financials,9,54,0.89,5,175007,0.11
465,Vornado Realty Trust,18953,Financials,9,74,0.78,19,174409,0.11
466,M&amp;T Bank ,15977,Financials,14,72,0.64,15.5,171000,0.14
467,Apartment Investment and Management ,6124,Financials,7,69,0.86,11,170940,0.14
468,Diamond Offshore Drilling ,2726,Energy,11,66,0.45,8,170487,0
469,Tractor Supply,12548,Consumer Discretionary,9,63,0.89,8,169973,0.22
470,Comerica ,7670,Financials,9,60,0.89,9,169500,0.22
471,Patterson Companies,4893,Health Care,8,61.5,0.75,6,169093,0.38
472,Pepco Holdings,6753,Utilities,9,64,0.89,8,167000,0.22
473,Garmin,6751,Consumer Discretionary,6,66.5,0.67,11,166500,0
474,TECO Energy,6351,Utilities,9,69,0.78,11,166251,0.22
475,BB&amp;T ,28978,Financials,18,66,0.61,6,162949,0.17
476,Zions Bancorporation,5877,Financials,13,63,0.85,12,161495,0.23
477,People's United Financial,4944,Financials,12,67.5,0.75,7,155325,0.17
478,Microchip Technology,10193,Information Technology,5,64,0.8,18,155295,0.2
479,KeyCorp,10374,Financials,14,59.5,0.93,5,146993,0.36
480,C.H. Robinson Worldwide,10046,Industrials,9,62,0.89,11,145000,0.33
481,Under Armour ,20505,Consumer Discretionary,10,59.5,0.7,10,137500,0.1
482,Essex Property Trust ,14380,Financials,12,66.5,0.5,12.5,106625,0.08
483,Stericycle ,10311,Industrials,10,65.5,0.8,8,101783,0.1
484,PPL,23109,Utilities,9,59,0.89,4,98500,0.11
485,Fastenal,11344,Industrials,10,53,0.7,6,89000,0.2
486,Crown Castle International,28524,Financials,12,-1,0.75,-1,79375,0.08
487,D.R. Horton,10797,Consumer Discretionary,5,65,0.8,12,77500,0.2
488,Nielsen Holdings ,17296,Industrials,11,59,0.55,4,40416,0.18
489,Berkshire Hathaway,335798,Financials,12,66.5,0.67,12,2700,0.25
490,Amazon.com,293398,Consumer Discretionary,10,64,0.8,11.5,0,0.3
491,HCA Holdings ,28043,Health Care,11,59,0.91,4,0,0.18
492,Mylan ,21679,Health Care,13,59,0.77,10,-1,0.31
493,Tegna ,1819,Consumer Discretionary,10,62,0.9,7,-1,0.5
494,Baxalta,23360,Health Care,9,67,0.89,0,-1,0.22
495,Kraft Heinz ,94564,Consumer Staples,11,63,1,0,-1,0.18
496,WestRock ,14076,Materials,14,62,0.93,0,-1,0.21
497,Columbia Pipeline Group ,6596,Energy,7,60,0.86,0,-1,0.29
498,Qorvo ,6568,Information Technology,10,59.5,0.8,0,-1,0
499,Paypal Holdings ,43993,Information Technology,8,54.5,0.63,0,-1,0.13
