,Company,Market Cap,Industry,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board
172,Tesoro ,12873,Energy,9,67,0.89,5,274238,0.22
173,Lockheed Martin ,67552,Industrials,12,65.5,0.75,8.5,273987,0.33
174,ACE,36778,Financials,14,64.5,0.93,6,273750,0.14
175,Nike ,111662,Consumer Discretionary,13,59,0.69,9,273682,0.23
176,CSX ,26313,Industrials,12,65.5,0.92,9,273659,0.17
177,Southwestern Energy,4244,Energy,9,62,0.78,5,273595,0.11
178,Cimarex Energy ,11151,Energy,9,66,0.56,10,273566,0
179,Cummins,18385,Industrials,10,60.5,0.9,6.5,273118,0.2
180,TE Connectivity ,25929,Information Technology,10,56.5,0.9,8,273066,0.2
181,Zimmer Biomet Holdings ,21309,Health Care,12,59,0.92,4.5,273018,0.17
182,AES,7476,Utilities,10,60.5,0.9,4,272500,0.2
183,Corning ,22003,Information Technology,14,65,0.79,5.5,272495,0.21
184,Praxair,31643,Materials,11,65,0.91,8,272316,0.18
185,Time Warner Cable ,53637,Consumer Discretionary,12,70,0.58,9,272047,0.17
186,Union Pacific ,76315,Industrials,11,68,0.91,9,270468,0.09
187,3M ,96796,Industrials,11,65,0.91,7,270180,0.18
188,Dominion Resources,42452,Utilities,10,62,0.8,6,270005,0.2
189,Interpublic Group of Companies ,9317,Consumer Discretionary,10,64,0.9,8,270000,0.4
190,Merck &amp; Co.,153170,Health Care,14,63.5,0.93,6,270000,0.21
191,Bank of New York Mellon,45521,Financials,14,67.5,0.93,8,269975,0.07
192,Express Scripts Holding ,58416,Health Care,13,62.5,0.85,8,269500,0.08
193,Sempra Energy,25389,Utilities,13,67,0.92,5,268250,0.23
194,TJX Companies ,49357,Consumer Discretionary,10,62,0.9,8,267411,0.3
195,KLA-Tencor,10467,Information Technology,11,66,0.91,8,267040,0.09
196,PepsiCo,148875,Consumer Staples,14,62,0.86,5,266667,0.29
197,Metlife ,56003,Financials,12,61.5,0.92,6,266629,0.33
198,Wal-Mart Stores,183508,Consumer Staples,15,66,0.67,7,266416,0.27
199,AFLAC ,27204,Financials,13,65,0.69,11,266368,0.15
200,Mattel,8341,Consumer Discretionary,10,57.5,0.9,8.5,266323,0.3
201,Chubb,29375,Financials,14,66,0.93,10,265918,0.21
202,Navient,4778,Financials,13,63,0.92,1,265512,0.54
203,Humana ,26477,Health Care,10,57,0.8,8.5,265342,0.1
204,Dow Chemical ,59865,Materials,13,62,0.92,8,265185,0.15
205,Level 3 Communications,18129,Telecommunications Services,11,62,0.82,3,265022,0.09
206,BlackRock,58447,Financials,19,63,0.79,6,264480,0.21
207,Northrop Grumman ,34242,Industrials,12,65,0.92,6.5,264052,0.17
208,Verizon Communications,190748,Telecommunications Services,12,59,0.92,4,264000,0.33
209,McKesson ,41143,Health Care,11,65,0.91,11,263843,0.27
210,Estee Lauder Companies ,29739,Consumer Staples,15,59,0.6,11,263682,0.47
211,Centurylink ,15487,Telecommunications Services,12,62,0.75,11,263475,0.17
212,C R Bard ,13768,Health Care,12,63,0.83,10.5,262963,0.08
213,Xilinx,12237,Information Technology,7,65,0.86,10,262932,0.14
214,Goodyear Tire &amp; Rubber ,8830,Consumer Discretionary,13,62,0.85,5,262716,0.15
215,Skyworks Solutions ,14732,Information Technology,8,57,0.88,12,262455,0.13
216,Yahoo!,33637,Information Technology,9,60,0.78,3,262442,0.33
217,Molson Coors Brewing,16313,Consumer Staples,14,54,0.71,5.5,262336,0.07
218,Eli Lilly ,90423,Health Care,13,64,0.92,7,261881,0.31
219,Lincoln National ,13242,Financials,11,70,0.91,9,261700,0.09
220,Mondelez International ,73355,Consumer Staples,12,66,0.92,3,261526,0.25
221,EQT ,10078,Energy,12,64.5,0.92,9,261414,0.25
222,Kroger ,36795,Consumer Staples,11,64,0.82,12,261413,0.27
223,E I Du Pont De Nemours ,55564,Materials,12,63.5,0.83,5.5,260963,0.17
224,Stanley Black &amp; Decker,15867,Industrials,11,64,0.91,5,260349,0.27
225,St. Jude Medical,17978,Health Care,8,60.5,0.75,12,260273,0.25
226,Air Products &amp; Chemicals,29878,Materials,10,63.5,0.9,4.5,260234,0.2
227,Monsanto,41001,Materials,14,60,0.93,8,260075,0.29
228,Target ,48502,Consumer Discretionary,12,57.5,0.92,3.5,260021,0.25
229,Omnicom Group,18149,Consumer Discretionary,13,71,0.85,18,260000,0.23
230,PulteGroup,6399,Consumer Discretionary,9,57,0.89,7,260000,0.22
231,Kellogg,24934,Consumer Staples,13,64,0.85,5,260000,0.38
232,Bank of America,174721,Financials,13,65,0.85,3,260000,0.31
233,United Parcel Service,92325,Industrials,12,61,0.83,5.5,259968,0.25
234,International Paper ,17833,Materials,12,61,0.92,4,258799,0.17
235,Motorola Solutions ,14468,Information Technology,10,61,0.9,3.5,257538,0.2
236,Waste Management,24003,Industrials,10,67,0.9,9.5,257500,0.2
237,American Electric Power Company ,27804,Utilities,12,61,0.92,4,257142,0.25
238,Charles Schwab,40152,Financials,15,67,0.8,12,257066,0.13
239,Coca-Cola,184179,Consumer Staples,15,63,0.87,5,256976,0.27
240,Becton Dickinson ,29965,Health Care,14,65,0.86,10,256779,0.29
241,Starwood Hotels &amp; Resorts Worldwide ,13497,Consumer Discretionary,10,62.5,0.9,12,256710,0.2
242,Staples,8359,Consumer Discretionary,11,60,0.82,8,256637,0.18
243,Jacobs Engineering Group ,4969,Industrials,11,67,0.91,6,256567,0.18
244,Alliance Data Systems ,18264,Information Technology,8,67.5,0.88,12.5,256175,0.13
245,FedEx ,44065,Industrials,12,60,0.83,7,255983,0.25
246,Henry Schein,12652,Health Care,15,70,0.67,13,255900,0.13
247,Williams Companies ,29570,Energy,13,64,0.85,4,255510,0.31
248,Invesco,14059,Financials,9,63,0.89,6,255250,0.11
249,Fluor,6770,Industrials,11,64,0.82,4,255219,0.18
250,Kimberly Clark,43454,Consumer Staples,11,64,0.82,10,255000,0.18
251,Genworth Financial ,2327,Financials,10,67.5,0.9,5.5,255000,0.3
252,Marsh &amp; McLennan Companies,29076,Financials,12,64,0.92,4.5,255000,0.17
253,Ball ,9337,Materials,9,68,0.67,10,254952,0.11
254,Illinois Tool Works,33419,Industrials,11,58,0.91,5,254943,0.18
255,Johnson Controls ,29249,Consumer Discretionary,10,58.5,0.9,6.5,254375,0.2
256,General Dynamics ,46970,Industrials,12,63,0.83,5,254374,0.25
257,McDonald's ,103071,Consumer Discretionary,15,61,1,10,253974,0.27
258,Cognizant Technology Solutions,41515,Information Technology,10,62,0.8,8,253454,0.1
259,ConAgra Foods ,17554,Consumer Staples,13,64,0.92,6,252651,0.15
260,Mosaic ,11911,Materials,12,59.5,0.83,5.5,252196,0.17
261,Emerson Electric ,31036,Industrials,12,63,0.83,8,251460,0.08
262,Pentair ,10079,Industrials,11,59,0.82,8,250741,0.18
263,Allegion ,6250,Industrials,6,60.5,0.83,2,250495,0.17
264,Rockwell Collins,11427,Industrials,9,65,0.89,8,250098,0.22
265,Delphi Automotive ,23300,Consumer Discretionary,12,66,0.92,6,250059,0
266,PPG Industries,28073,Materials,11,64,0.82,10,250036,0.18
267,Cardinal Health ,27030,Health Care,12,62,0.92,6,250029,0.33
268,Textron,11540,Industrials,11,67,0.91,11,249750,0.09
269,Parker-Hannifin,14257,Industrials,14,62.5,0.79,9.5,249686,0.14
270,Consolidated Edison,19256,Utilities,10,64,0.8,8.5,249332,0.2
271,Harris ,9782,Information Technology,12,65.5,0.92,11.5,249250,0.17
272,Whirlpool ,12521,Consumer Discretionary,12,61,0.75,5.5,249145,0.17
273,U.S. Bancorp,73983,Financials,13,66,0.85,9,248995,0.23
274,United Continental Holdings ,22484,Industrials,11,63,0.82,5,248535,0.18
275,Edison International,19718,Utilities,9,63,0.78,5,247697,0.33
276,Computer Sciences ,9211,Information Technology,11,58,0.91,1,247658,0.09
277,Prologis ,22399,Financials,10,66,0.9,6,246969,0.2
278,Best Buy Co ,12070,Consumer Discretionary,10,56.5,0.8,2,246564,0.3
279,Exelon ,25674,Utilities,14,65.5,0.86,4.5,246500,0.14
280,Edwards Lifesciences,16949,Health Care,8,67,0.88,5.5,246297,0.25
281,Unum Group,8435,Financials,15,60,0.87,9,246054,0.2
282,Expeditors International of Washington,9418,Industrials,10,66,0.8,7,245958,0.1
283,Nordstrom,12274,Consumer Discretionary,14,55,0.79,9,245181,0.36
284,Moody's ,19260,Financials,9,63,0.89,11,245020,0.22
285,NRG Energy ,4262,Utilities,13,63,0.85,9,245002,0.08
286,Hershey ,19227,Consumer Staples,11,62,0.91,5,245000,0.18
287,PerkinElmer,5855,Health Care,8,62.5,0.88,11.5,244971,0.25
288,Tiffany ,10630,Consumer Discretionary,10,66,0.6,11,244707,0.2
289,Precision Castparts ,31755,Industrials,7,65,0.86,8,244500,0
290,Coca-Cola Enterprises ,11651,Consumer Staples,12,63,0.92,7.5,244124,0.33
291,Genuine Parts,13758,Consumer Discretionary,12,63.5,0.67,10,244100,0.17
292,Eastman Chemical,10724,Materials,11,62,0.91,9,244061,0.18
293,Kimco Realty,11059,Financials,8,73,0.63,16,243744,0.13
294,Gap ,11071,Consumer Discretionary,10,59.5,0.7,8.5,243724,0.3
295,Ryder System,3834,Industrials,11,61,0.91,8,243019,0.27
296,FLIR Systems,3740,Information Technology,10,66,0.7,11,242891,0.2
297,Hormel Foods,17868,Consumer Staples,15,58,0.8,6,241810,0.27
298,Automatic Data Processing,40474,Information Technology,10,62,0.9,5,241800,0.2
299,Masco,9757,Industrials,11,61,0.82,3,241368,0.18
300,Alcoa ,11699,Materials,12,66,0.92,7,241000,0.25
301,NextEra Energy ,47278,Utilities,13,64,0.92,6,240622,0.23
302,Scripps Networks Interactive,7721,Consumer Discretionary,12,63,0.75,7,240590,0.25
303,Snap-on ,9633,Industrials,10,62.5,0.9,7.5,240530,0.2
304,Urban Outfitters,3544,Consumer Discretionary,8,65.5,0.5,19.5,240400,0.25
305,Analog Devices,18858,Information Technology,12,63.5,0.83,5,240358,0.08
306,Quest Diagnostics ,9740,Health Care,11,66,0.91,10,240086,0.27
307,American Tower,43301,Financials,10,62,0.9,10.5,240011,0.3
308,Progressive,19367,Financials,10,61,0.7,9,240007,0.2
309,Dover,9984,Industrials,12,66.5,0.92,10,240000,0.17
310,Leucadia National ,7250,Financials,11,63,0.73,2,240000,0.09
311,Zoetis ,21459,Health Care,11,62,0.73,2,240000,0.09
312,Starbucks ,92866,Consumer Discretionary,12,66,0.75,11,239973,0.17
313,Laboratory Corp. of America ,12421,Health Care,9,59,0.89,8,239939,0.11
314,Host Hotels and Resorts ,13025,Financials,9,62,0.67,8,239920,0.33
315,Harman International Industries ,7816,Consumer Discretionary,11,62,0.91,7,239074,0.27
316,Ecolab,35514,Materials,16,59,0.88,6.5,239020,0.25
317,News Corp,8966,Consumer Discretionary,12,51,0.5,2,237250,0.25
318,General Motors,54326,Consumer Discretionary,12,63,0.75,3,236822,0.42
319,Deere ,25596,Industrials,14,65,0.93,8,236413,0.21
320,Macy's,16028,Consumer Discretionary,13,64,0.92,9,236397,0.46
321,Danaher ,63943,Industrials,10,63,0.7,14,236175,0.2
322,Michael Kors Holdings ,7111,Consumer Discretionary,8,59,0.75,3.5,236000,0.5
323,Carnival,31913,Consumer Discretionary,9,65,0.78,11,235582,0.22
324,Helmerich &amp; Payne,6063,Energy,10,63.5,0.6,10.5,235570,0.1
325,Ventas,17887,Financials,10,61,0.7,6,235500,0.2
326,Nasdaq ,9779,Financials,11,58,0.91,7,235317,0.18
327,First Solar,5758,Information Technology,11,61,0.73,8,235053,0.09
328,Spectra Energy ,19180,Energy,11,66,0.91,7,235006,0.18
329,CBRE Group ,12420,Financials,11,71,0.73,11,234972,0.09
330,Public Service Enterprise Group,20887,Utilities,10,69,0.9,10.5,234529,0.2
331,Principal Financial Group ,14684,Financials,12,63.5,0.83,11,234498,0.33
332,United Rentals,6949,Industrials,11,62,0.82,9,234090,0.18
333,Nucor ,13519,Materials,9,62,0.89,7,233762,0.22
334,Dollar General ,19969,Consumer Discretionary,9,59,0.78,5,233515,0.33
335,Lennar ,10261,Consumer Discretionary,9,65,0.78,10,232692,0.11
336,Entergy ,12236,Utilities,13,66,0.85,10,232669,0.31
337,AmerisourceBergen ,20865,Health Care,11,62,0.82,5,232644,0.27
338,McCormick &amp; Company,10753,Consumer Staples,10,57,0.8,6.5,232564,0.3
339,CF Industries Holdings,11833,Materials,10,64.5,0.7,6.5,232338,0.1
340,L-3 Communications Holdings,10153,Industrials,10,68,0.9,7.5,231945,0.1
341,Xcel Energy ,18071,Utilities,12,61,0.75,6,231658,0.25
342,Discover Financial Services,24033,Financials,11,61,0.91,8,231362,0.27
343,Discovery Communications,12141,Consumer Discretionary,10,66.5,0.6,7,230809,0
344,Lowe's Companies,68309,Consumer Discretionary,11,61,0.91,5,230656,0.18
345,Quanta Services ,4028,Industrials,10,61,0.9,10,230564,0.1
346,Signet Jewelers,12013,Consumer Discretionary,10,63.5,0.9,3,230410,0.4
347,Fifth Third Bancorp,15000,Financials,14,61,0.79,6,230096,0.21
348,Campbell Soup,15727,Consumer Staples,14,65,0.71,10,230000,0.29
349,Monster Beverage,28013,Consumer Staples,10,63,0.7,20,229969,0.1
350,PACCAR ,18690,Industrials,11,61,0.73,6,227552,0.18
351,Clorox ,15745,Consumer Staples,11,65,0.82,2,227500,0.27
352,Southern ,41040,Utilities,15,65,0.8,5,227451,0.2
353,NiSource,6090,Utilities,8,59.5,0.88,5,227238,0.25
354,International Flavors &amp; Fragrances ,9352,Materials,10,64,0.9,4.5,227092,0.3
355,Altera ,15915,Information Technology,9,62,0.89,4,226921,0.11
356,Newell Rubbermaid,11362,Consumer Discretionary,12,62.5,0.92,8.5,226863,0.08
357,Western Union,9726,Information Technology,11,64,0.91,5,226500,0.27
358,Xylem ,6530,Industrials,11,64,0.82,4,225986,0.09
359,Coach ,8657,Consumer Discretionary,9,51,0.78,3,225835,0.22
360,Tyson Foods,16607,Consumer Staples,9,60.5,0.67,7,225600,0.11
361,Allstate,23966,Financials,10,60.5,0.9,4,225270,0.3
362,PVH,7507,Consumer Discretionary,10,58,0.9,8,225222,0.2
363,L Brands ,27870,Consumer Discretionary,12,70,0.67,11,225018,0.17
364,McGraw Hill Financial ,25244,Financials,12,64.5,0.83,9.5,224721,0.17
365,E*TRADE Financial,8280,Financials,11,66,0.91,3,224000,0.27
366,Franklin Resources,24598,Financials,10,57.5,0.7,4,223500,0.2
367,Equifax,12625,Industrials,10,63.5,0.9,8.5,223279,0.1
368,VF,28739,Consumer Discretionary,12,59,0.83,7.5,223009,0.17
369,CarMax,11957,Consumer Discretionary,12,58.5,0.92,8,222997,0.17
370,CenterPoint Energy,7981,Utilities,9,62,0.78,7,222717,0.22
371,Advance Auto Parts,14528,Consumer Discretionary,12,57.5,0.58,6.5,222500,0.17
372,Martin Marietta Materials,10395,Materials,10,68.5,0.7,12.5,222132,0.2
373,FirstEnergy ,13198,Utilities,13,66,0.92,4,221761,0.15
374,H &amp; R Block ,10297,Consumer Discretionary,10,61.5,0.9,5,220748,0.2
375,Hudson City Bancorp,5358,Financials,9,68,0.78,13,220669,0.11
376,Hanesbrands,12514,Consumer Discretionary,11,62,0.91,9,220054,0.18
377,Tyco International ,15360,Industrials,11,60,0.82,6,220039,0.09
378,Dr Pepper Snapple Group,16881,Consumer Staples,9,61,0.89,7,220000,0.44
379,Realty Income,12345,Financials,8,63.5,0.88,8,219660,0.25
380,Leggett &amp; Platt,6128,Consumer Discretionary,11,62,0.73,10,219630,0.18
381,Paychex,18596,Information Technology,9,63,0.67,10,218990,0.11
382,Iron Mountain ,6467,Financials,10,59.5,0.8,4.5,218489,0.2
383,Vulcan Materials,12863,Materials,13,60,0.77,2,218373,0.23
384,W W Grainger ,13185,Industrials,11,62,0.91,10,218337,0.09
385,Kansas City Southern,9032,Industrials,8,65,0.88,7.5,217901,0.13
386,Avery Dennison,5940,Materials,9,59,0.89,10,217802,0.22
387,PG&amp;E ,26190,Utilities,12,66.5,0.92,6,217580,0.25
388,Fiserv ,22056,Information Technology,10,59,0.9,9,217527,0.2
389,Kohl's ,8970,Consumer Discretionary,9,57,0.89,8,217482,0.22
390,Tripadvisor ,12079,Consumer Discretionary,9,48,0.67,4,217439,0.11
391,Assurant,5447,Financials,10,63,0.9,5,217411,0.2
392,Keurig Green Mountain ,7818,Consumer Staples,11,60,0.91,3,217053,0.27
393,Flowserve,6067,Industrials,11,59,0.91,8,216988,0.18
394,Chipotle Mexican Grill,19967,Consumer Discretionary,9,60,0.67,16,216513,0.11
395,SunTrust Banks,21343,Financials,12,64.5,0.92,4.5,216500,0.17
396,Rockwell Automation,14639,Industrials,11,63,0.91,7,216458,0.18
397,Constellation Brands,26498,Consumer Staples,10,57.5,0.8,5,215654,0.1
398,BorgWarner,9597,Consumer Discretionary,10,66.5,0.9,7.5,215493,0.1
399,Verisk Analytics,12132,Industrials,12,63.5,0.67,12.5,215021,0.08
400,Marriott International ,19742,Consumer Discretionary,11,60,0.73,7,215018,0.36
401,Harley-Davidson ,9487,Consumer Discretionary,11,64,0.82,13,215000,0.09
402,Ameren,10598,Utilities,11,62,0.91,6,214522,0.27
403,DTE Energy ,14643,Utilities,12,64.5,0.92,6.5,213451,0.17
404,Ross Stores,20640,Consumer Discretionary,11,59,0.55,12,213033,0.18
405,Yum! Brands,30579,Consumer Discretionary,14,58.5,0.71,7,212764,0.14
406,Xerox,9506,Information Technology,9,62,0.89,8,212500,0.44
407,FMC,5439,Materials,10,62,0.9,6.5,211601,0.1
408,Public Storage,39663,Financials,8,62.5,0.63,11,211450,0.13
409,Linear Technology ,10859,Information Technology,7,76,0.71,21,211390,0
410,Sherwin-Williams ,24842,Materials,11,62,0.91,6,210496,0.18
411,Northern Trust ,16275,Financials,12,60,0.92,7,210207,0.17
412,Affiliated Managers Group,9785,Financials,8,52,0.88,5.5,210026,0.13
413,Weyerhaeuser ,14975,Financials,10,60,0.9,8.5,210015,0.3
414,Dollar Tree,15371,Consumer Discretionary,11,67,0.64,11,210000,0.09
415,Legg Mason ,4909,Financials,11,65,0.91,6,209668,0.18
416,J M Smucker ,14047,Consumer Staples,13,64,0.54,9,209000,0.31
417,AutoZone,23912,Consumer Discretionary,11,57,0.82,9,208156,0.18
418,Total System Services,9650,Information Technology,14,67.5,0.57,22.5,208107,0.07
419,Owens-Illinois ,3466,Materials,12,65,0.75,9,208000,0.17
420,Huntington Bancshares ,8739,Financials,11,60,0.82,6,206992,0.18
421,Pinnacle West Capital ,7040,Utilities,10,67.5,0.9,10.5,206986,0.1
422,Sealed Air,10110,Materials,10,65,0.8,7.5,205023,0.1
423,ADT,5614,Industrials,9,60,0.89,3,204871,0.22
424,Brown-Forman ,22649,Consumer Staples,13,56,0.46,7,203500,0.23
425,Pitney Bowes,4169,Industrials,11,63,0.91,9,203210,0.36
426,Darden Restaurants,7930,Consumer Discretionary,12,55.5,0.75,1,202855,0.17
427,Bed Bath &amp; Beyond,9951,Consumer Discretionary,10,60,0.7,14,202500,0.2
428,Fossil Group ,2619,Consumer Discretionary,12,62,0.75,8,202482,0.33
429,Dun &amp; Bradstreet,4111,Industrials,10,57,0.9,2,202308,0.3
430,HCP,17208,Financials,8,68.5,0.88,9.5,201157,0.25
431,Amphenol ,16761,Information Technology,10,70.5,0.6,10,201026,0.1
432,CMS Energy ,10023,Utilities,12,61.5,0.83,4,200849,0.25
433,Torchmark ,7257,Financials,11,67,0.82,10,200651,0.18
434,Eversource Energy,16156,Utilities,12,67.5,0.92,3,200097,0.17
435,ONEOK,7094,Energy,10,64,0.8,10,200054,0.2
436,Kinder Morgan ,61031,Energy,16,69.5,0.5,3.5,200000,0.06
437,Plum Creek Timber Co.,7072,Financials,10,66,0.9,9,199307,0.3
438,Regions Financial,12192,Financials,12,65.5,0.92,8.5,198750,0.25
439,Southwest Airlines ,30104,Industrials,12,68,0.83,7,197014,0.17
440,Royal Caribbean Cruises ,21636,Consumer Discretionary,11,64,0.64,12,196347,0.09
