,Rank,HBR_CEO,HBR_Company,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
39,40,>Reinhard Ploss<,">
Infineon Technologies<",> Information Technology | <,> Germany | <,> 2012 | <,> YES | <,> NO | <,> 175 | <,> 65 | <,> 94<
40,41,>Carlos Rodriguez<,">
ADP<",> Information Technology | <,> United States | <,> 2011 | <,> YES | <,> YES | <,> 115 | <,> 175 | <,> 268<
41,42,>Feike Sijbesma<,">
DSM<",> Materials | <,> Netherlands | <,> 2007 | <,> YES | <,> YES | <,> 194 | <,> 19 | <,> 61<
42,43,>Shigenobu Nagamori<,">
Nidec<",> Industrials | <,> Japan | <,> 1973 | <,> YES | <,> NO | <,> 16 | <,> 501 | <,> 426<
43,44,>Luis Maroto<,">
Amadeus IT<",> Information Technology | <,> Spain | <,> 2011 | <,> YES | <,> YES | <,> 132 | <,> 173 | <,> 220<
44,45,>Douglas Peterson<,">
S&amp;P Global<",> Financial Services | <,> United States | <,> 2013 | <,> YES | <,> YES | <,> 134 | <,> 237 | <,> 161<
45,46,>Íñigo Meirás<,">
Ferrovial<",> Industrials | <,> Spain | <,> 2009 | <,> YES | <,> YES | <,> 162 | <,> 245 | <,> 45<
46,47,>Michael Mahoney<,">
Boston Scientific<",> Health Care | <,> United States | <,> 2012 | <,> YES | <,> YES | <,> 48 | <,> 591 | <,> 252<
47,48,>Jean-Pascal Tricoire<,">
Schneider Electric<",> Industrials | <,> France | <,> 2006 | <,> YES | <,> YES | <,> 211 | <,> 60 | <,> 28<
48,49,>Glenn Chamandy<,">
Gildan Activewear<",> Consumer Goods | <,> Canada | <,> 2004 | <,> YES | <,> NO | <,> 174 | <,> 182 | <,> 84<
49,50,>George Kwok Lung Hongchoy<,">
Link REIT<",> Real Estate | <,>China<,> 2010 | <,> YES | <,> YES | <,> 80 | <,> 439 | <,> 275<
50,51,>Olivier Filliol<,">
Mettler Toledo<",> Health Care | <,> Switzerland | <,> 2008 | <,> YES | <,> YES | <,> 130 | <,> 149 | <,> 350<
51,52,>Masahiko Uotani<,">
Shiseido<",> Consumer Goods | <,> Japan | <,> 2014 | <,> NO | <,> YES | <,> 104 | <,> 330 | <,> 303<
52,53,>Frederick Smith<,">
FedEx<",> Transportation | <,> United States | <,> 1971 | <,> YES | <,> NO | <,> 58 | <,> 319 | <,> 549<
53,54,>Tadashi Yanai<,">
Fast Retailing<",> Retail | <,> Japan | <,> 1984 | <,> YES | <,> NO | <,> 7 | <,> 486 | <,> 625<
54,55,>Robert Iger<,">
Disney<",> Communication | <,> United States | <,> 2005 | <,> YES | <,> NO | <,> 36 | <,> 570 | <,> 429<
55,56,>Michael Zahn<,">
Deutsche Wohnen<",> Real Estate | <,> Germany | <,> 2008 | <,> YES | <,> NO | <,> 75 | <,> 366 | <,> 457<
56,57,>Michael Lamach<,">
Ingersoll-Rand<",> Industrials | <,> United States | <,> 2010 | <,> YES | <,> YES | <,> 134 | <,> 343 | <,> 207<
57,58,>Rune Bjerke<,">
DNB<",> Financial Services | <,> Norway | <,> 2007 | <,> NO | <,> NO | <,> 205 | <,> 52 | <,> 171<
58,59,>Mike Lawrie<,">
DXC Technology<",> Information Technology | <,> United States | <,> 2012 | <,> YES | <,> YES | <,> 123 | <,> 130 | <,> 484<
59,60,>Peter Wennink<,">
ASML<",> Information Technology | <,> Netherlands | <,> 2013 | <,> YES | <,> NO | <,> 248 | <,> 24 | <,> 34<
60,61,>Jean-François van Boxmeer<,">
Heineken<",> Consumer Goods | <,> Netherlands | <,> 2005 | <,> YES | <,> NO | <,> 201 | <,> 110 | <,> 185<
61,62,>Tim Cook<,">
Apple<",> Information Technology | <,> United States | <,> 2011 | <,> YES | <,> YES | <,> 124 | <,> 406 | <,> 265<
62,63,>Ma Huateng<,">
Tencent<",> Communication | <,> China | <,> 1998 | <,> YES | <,> NO | <,> 2 | <,> 600 | <,> 644<
63,64,>Carlos Tavares<,">
Peugeot<",> Automobile | <,> France | <,> 2014 | <,> NO | <,> NO | <,> 250 | <,> 82 | <,> 14<
64,65,>Paolo Rocca<,">
Tenaris<",> Energy | <,> Argentina | <,> 2002 | <,> YES | <,> NO | <,> 65 | <,> 329 | <,> 647<
65,66,>Florentino Pérez Rodríguez<,">
ACS<",> Industrials | <,> Spain | <,> 1993 | <,> YES | <,> NO | <,> 53 | <,> 626 | <,> 415<
66,67,>David Simon<,">
Simon Property<",> Real Estate | <,> United States | <,> 1995 | <,> YES | <,> YES | <,> 15 | <,> 606 | <,> 620<
67,68,>Dean Connor<,">
Sun Life Financial<",> Financial Services | <,> Canada | <,> 2011 | <,> YES | <,> NO | <,> 195 | <,> 188 | <,> 197<
68,69,>Oliver Bäte<,">
Allianz<",> Financial Services | <,> Germany | <,> 2015 | <,> YES | <,> YES | <,> 249 | <,> 72 | <,> 68<
69,70,>Jeffrey Sprecher<,">
Intercontinental Exchange<",> Financial Services | <,> United States | <,> 2000 | <,> YES | <,> YES | <,> 27 | <,> 619 | <,> 568<
70,71,>George Cope<,">
BCE<",> Communication | <,> Canada | <,> 2008 | <,> YES | <,> NO | <,> 219 | <,> 156 | <,> 136<
71,72,>Takahisa Takahara<,">
Unicharm<",> Consumer Goods | <,> Japan | <,> 2004 | <,> YES | <,> NO | <,> 113 | <,> 460 | <,> 330<
72,73,>Greg Case<,">
Aon<",> Financial Services | <,> United Kingdom | <,> 2005 | <,> NO | <,> YES | <,> 31 | <,> 554 | <,> 621<
73,74,>Yves Guillemot<,">
Ubisoft<",> Communication | <,> France | <,> 1988 | <,> YES | <,> NO | <,> 89 | <,> 512 | <,> 402<
74,75,>Marc Casper<,">
Thermo Fisher Scientific<",> Health Care | <,> United States | <,> 2009 | <,> YES | <,> YES | <,> 63 | <,> 707 | <,> 332<
75,76,>Jean-Sébastien Jacques<,">
Rio Tinto<",> Materials | <,> United Kingdom | <,> 2016 | <,> YES | <,> NO | <,> 168 | <,> 108 | <,> 467<
76,77,>Pascal Soriot<,">
AstraZeneca<",> Health Care | <,> United Kingdom | <,> 2012 | <,> NO | <,> YES | <,> 202 | <,> 160 | <,> 257<
77,78,>Simon Wolfson<,">
Next<",> Retail | <,> United Kingdom | <,> 2001 | <,> YES | <,> NO | <,> 91 | <,> 607 | <,> 333<
78,79,>Raymond McDaniel Jr.<,">
Moodyʼs<",> Financial Services | <,> United States | <,> 2005 | <,> YES | <,> NO | <,> 90 | <,> 412 | <,> 533<
79,80,>Daniel Amos<,">
Aflac<",> Financial Services | <,> United States | <,> 1990 | <,> YES | <,> NO | <,> 17 | <,> 671 | <,> 618<
80,81,>Bobby Kotick<,">
Activision Blizzard<",> Communication | <,> United States | <,> 1991 | <,> YES | <,> NO | <,> 11 | <,> 461 | <,> 858<
81,82,>James Robo<,">
NextEra Energy<",> Utilities | <,> United States | <,> 2012 | <,> YES | <,> YES | <,> 126 | <,> 294 | <,> 493<
82,83,>Paul Perreault<,">
CSL<",> Health Care | <,> Australia | <,> 2013 | <,> YES | <,> NO | <,> 142 | <,> 595 | <,> 122<
83,84,>Ivan Menezes<,">
Diageo<",> Consumer Goods | <,> United Kingdom | <,> 2013 | <,> YES | <,> YES | <,> 283 | <,> 58 | <,> 5<
84,85,>André Desmarais<,">
Power Corporation of Canada<",> Financial Services | <,> Canada | <,> 1996 | <,> YES | <,> NO | <,> 116 | <,> 276 | <,> 574<
